[INFO   | api_client           | L41] 2025-05-26T00:07:47+0530: fetch_api_data(date=02-16-2025, range_param=1) | api_client.py
[INFO   | api_client           | L55] 2025-05-26T00:08:09+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L115] 2025-05-26T00:08:09+0530: Fetched raw data for 02-16-2025 in 22.495443 seconds | api_client.py
[INFO   | data_cleaner           | L15] 2025-05-26T00:08:09+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L22] 2025-05-26T00:08:20+0530: clean_and_parse_data produced 4320 records | data_cleaner.py
[INFO   | api_client           | L120] 2025-05-26T00:08:20+0530: Cleaned raw data for 02-16-2025 in 10.808137 seconds | api_client.py
[INFO   | influx_writer           | L46] 2025-05-26T00:08:20+0530: Creating new file output\tmp_21340.txt | influx_writer.py
[INFO   | influx_writer           | L59] 2025-05-26T00:08:24+0530: write_to_influxdb called with filename=output\tmp_21340.txt, args=Namespace(mode='daily', date=None, startdate='01-01-2025', enddate='04-19-2025', range=None, db_write=True, override=True, retain_file=True, debug=True, delay=120, use_db_params=False, db_host=None, db_org=None), batch_size=5000 | influx_writer.py
[INFO   | influx_writer           | L64] 2025-05-26T00:08:24+0530: Connecting to InfluxDB at https://eu-central-1-1.aws.cloud2.influxdata.com, org=Blast Furnace, Evonith | influx_writer.py
[INFO   | influx_writer           | L86] 2025-05-26T00:08:24+0530: Writing to bucket: bf2_evonith_raw | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-26T00:08:24+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-26T00:08:24+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 5000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-26T00:08:43+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-26T00:08:43+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 10000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-26T00:09:02+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-26T00:09:02+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 15000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-26T00:09:22+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-26T00:09:22+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 20000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-26T00:09:42+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-26T00:09:42+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 25000. | influx_writer.py
[INFO   | influx_writer           | L115] 2025-05-26T00:10:02+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L121] 2025-05-26T00:10:18+0530: Wrote final batch of 920 lines to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L122] 2025-05-26T00:10:18+0530: Finished writing all lines from output\tmp_21340.txt to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L172] 2025-05-26T00:10:18+0530: Write to influxdb took: 113.746893 seconds | influx_writer.py
[INFO   | influx_writer           | L179] 2025-05-26T00:10:18+0530: Renaming file output\tmp_21340.txt to output\date_02_16_2025_Range1.txt | influx_writer.py
[INFO   | influx_writer           | L185] 2025-05-26T00:10:18+0530: Gzipped points file to output\date_02_16_2025_Range1.txt.gz | influx_writer.py
[INFO   | run_tracker           | L56] 2025-05-26T00:10:18+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\db\run_metadata.db | run_tracker.py
