[INFO   | api_client           | L43] 2025-05-31T04:34:31+0530: fetch_api_data(date=05-29-2025, range_param=1) | api_client.py
[INFO   | api_client           | L57] 2025-05-31T04:34:52+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-31T04:34:52+0530: Fetched raw data for 05-29-2025 in 21.191962 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-31T04:34:52+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T04:35:11+0530: clean_and_parse_data produced 4320 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-31T04:35:11+0530: Cleaned raw data for 05-29-2025 in 19.312655 seconds | api_client.py
[INFO   | api_client           | L43] 2025-05-31T04:36:42+0530: fetch_api_data(date=05-29-2025, range_param=1) | api_client.py
[INFO   | api_client           | L57] 2025-05-31T04:37:01+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-31T04:37:02+0530: Fetched raw data for 05-29-2025 in 19.575706 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-31T04:37:02+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T04:37:21+0530: clean_and_parse_data produced 4320 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-31T04:37:21+0530: Cleaned raw data for 05-29-2025 in 19.253529 seconds | api_client.py
[INFO   | api_client           | L43] 2025-05-31T04:40:42+0530: fetch_api_data(date=05-29-2025, range_param=1) | api_client.py
[INFO   | api_client           | L57] 2025-05-31T04:41:02+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-31T04:41:02+0530: Fetched raw data for 05-29-2025 in 20.472919 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-31T04:41:02+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T04:41:22+0530: clean_and_parse_data produced 4320 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-31T04:41:22+0530: Cleaned raw data for 05-29-2025 in 19.416962 seconds | api_client.py
