[INFO   | api_client           | L41] 2025-05-27T23:58:31+0530: fetch_api_data(date=05-27-2025, range_param=1) | api_client.py
[INFO   | api_client           | L55] 2025-05-27T23:59:01+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L115] 2025-05-27T23:59:01+0530: Fetched raw data for 05-27-2025 in 30.277284 seconds | api_client.py
[INFO   | data_cleaner           | L15] 2025-05-27T23:59:01+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L22] 2025-05-28T00:00:20+0530: clean_and_parse_data produced 4320 records | data_cleaner.py
[INFO   | api_client           | L120] 2025-05-28T00:00:20+0530: Cleaned raw data for 05-27-2025 in 78.447705 seconds | api_client.py
[INFO   | influx_writer           | L46] 2025-05-28T00:00:20+0530: Creating new file output\tmp_49292.txt | influx_writer.py
[INFO   | influx_writer           | L59] 2025-05-28T00:00:38+0530: write_to_influxdb called with filename=output\tmp_49292.txt, args=Namespace(mode='daily', date='05-27-2025', startdate=None, enddate=None, range=None, db_write=True, override=True, retain_file=False, debug=True, delay=120, use_db_params=False, db_host=None, db_org=None, log_run=False), batch_size=5000 | influx_writer.py
[INFO   | influx_writer           | L64] 2025-05-28T00:00:38+0530: Connecting to InfluxDB at https://eu-central-1-1.aws.cloud2.influxdata.com, org=Blast Furnace, Evonith | influx_writer.py
[INFO   | influx_writer           | L86] 2025-05-28T00:00:38+0530: Writing to bucket: bf2_evonith_raw | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-28T00:00:38+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-28T00:00:38+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 5000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-28T00:00:59+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-28T00:00:59+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 10000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-28T00:01:20+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-28T00:01:20+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 15000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-28T00:01:41+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-28T00:01:41+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 20000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-28T00:02:00+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-28T00:02:00+0530: Wrote batch of 5000 lines to InfluxDB. Total written: 25000. | influx_writer.py
[INFO   | influx_writer           | L115] 2025-05-28T00:02:20+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L121] 2025-05-28T00:02:36+0530: Wrote final batch of 920 lines to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L122] 2025-05-28T00:02:36+0530: Finished writing all lines from output\tmp_49292.txt to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L172] 2025-05-28T00:02:36+0530: Write to influxdb took: 118.086614 seconds | influx_writer.py
