[INFO   | main           | L72] 2025-05-31T19:57:13+0530: Running in live mode | main.py
[INFO   | api_client           | L81] 2025-05-31T19:57:13+0530: fetch_api_data_live() called | api_client.py
[INFO   | api_client           | L90] 2025-05-31T19:57:14+0530: API response status code: 200 | api_client.py
[INFO   | data_cleaner           | L40] 2025-05-31T19:57:14+0530: Processing and writing data for date=05_31_2025, mode=live | data_cleaner.py
[INFO   | data_cleaner           | L20] 2025-05-31T19:57:14+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T19:57:14+0530: clean_and_parse_data produced 1 records | data_cleaner.py
[INFO   | run_tracker           | L17] 2025-05-31T21:04:47+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\db\run_metadata.db | run_tracker.py
[INFO   | run_tracker           | L38] 2025-05-31T21:04:47+0530: Tables in DB: [('runs',), ('sqlite_sequence',)] | run_tracker.py
[INFO   | run_tracker           | L40] 2025-05-31T21:04:47+0530: Initialized database at db/run_metadata.db with runs table. | run_tracker.py
[INFO   | main           | L55] 2025-05-31T21:04:48+0530: Parsed CLI args: Namespace(mode='daily', date=None, startdate=None, enddate=None, db_write=False, override=True, retain_file=False, debug=False, delay=120, use_db_params=False, db_host=None, db_org=None, log_run=False) | main.py
