[INFO   | api_client           | L43] 2025-05-31T04:35:21+0530: fetch_api_data(date=05-29-2025, range_param=2) | api_client.py
[INFO   | api_client           | L57] 2025-05-31T04:35:46+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-31T04:35:47+0530: Fetched raw data for 05-29-2025 in 25.173278 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-31T04:35:47+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T04:36:30+0530: clean_and_parse_data produced 3960 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-31T04:36:30+0530: Cleaned raw data for 05-29-2025 in 43.658289 seconds | api_client.py
[INFO   | run_tracker           | L17] 2025-05-31T04:36:42+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\db\run_metadata.db | run_tracker.py
[INFO   | run_tracker           | L38] 2025-05-31T04:36:42+0530: Tables in DB: [('runs',), ('sqlite_sequence',)] | run_tracker.py
[INFO   | run_tracker           | L40] 2025-05-31T04:36:42+0530: Initialized database at db/run_metadata.db with runs table. | run_tracker.py
[INFO   | main           | L55] 2025-05-31T04:36:42+0530: Parsed CLI args: Namespace(mode='daily', date=None, startdate=None, enddate=None, db_write=False, override=True, retain_file=False, debug=False, delay=120, use_db_params=False, db_host=None, db_org=None, log_run=False) | main.py
[INFO   | api_client           | L43] 2025-05-31T04:37:30+0530: fetch_api_data(date=05-29-2025, range_param=2) | api_client.py
[INFO   | api_client           | L57] 2025-05-31T04:37:51+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-31T04:37:52+0530: Fetched raw data for 05-29-2025 in 22.405513 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-31T04:37:52+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T04:38:50+0530: clean_and_parse_data produced 3960 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-31T04:38:50+0530: Cleaned raw data for 05-29-2025 in 58.071693 seconds | api_client.py
[INFO   | run_tracker           | L17] 2025-05-31T04:38:58+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\db\run_metadata.db | run_tracker.py
[INFO   | run_tracker           | L38] 2025-05-31T04:38:58+0530: Tables in DB: [('runs',), ('sqlite_sequence',)] | run_tracker.py
[INFO   | run_tracker           | L40] 2025-05-31T04:38:58+0530: Initialized database at db/run_metadata.db with runs table. | run_tracker.py
[INFO   | main           | L55] 2025-05-31T04:38:58+0530: Parsed CLI args: Namespace(mode='daily', date=None, startdate='05-28-2025', enddate='05-29-2025', range=None, db_write=False, override=True, retain_file=False, debug=False, delay=120, use_db_params=False, db_host=None, db_org=None, log_run=False) | main.py
[INFO   | api_client           | L43] 2025-05-31T04:41:32+0530: fetch_api_data(date=05-29-2025, range_param=2) | api_client.py
[INFO   | api_client           | L57] 2025-05-31T04:41:48+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-31T04:41:48+0530: Fetched raw data for 05-29-2025 in 16.661428 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-31T04:41:48+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-31T04:42:11+0530: clean_and_parse_data produced 3960 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-31T04:42:11+0530: Cleaned raw data for 05-29-2025 in 22.302974 seconds | api_client.py
[INFO   | run_tracker           | L17] 2025-05-31T04:42:25+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\db\testdb.db | run_tracker.py
[INFO   | run_tracker           | L38] 2025-05-31T04:42:25+0530: Tables in DB: <MagicMock name='connect().cursor().fetchall()' id='1951643860528'> | run_tracker.py
[INFO   | run_tracker           | L40] 2025-05-31T04:42:25+0530: Initialized database at db/testdb.db with runs table. | run_tracker.py
[INFO   | run_tracker           | L61] 2025-05-31T04:42:25+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\testdb.db | run_tracker.py
[INFO   | utils           | L42] 2025-05-31T04:42:25+0530: check_existing_data called (stub) | utils.py
[INFO   | utils           | L20] 2025-05-31T04:42:25+0530: daterange called with start_date=05-27-2025, end_date=05-29-2025 | utils.py
[INFO   | utils           | L31] 2025-05-31T04:42:25+0530: daterange generated 3 dates | utils.py
